iid1	iid2	max_ibd	sum_ibd_8	n_ibd_8	sum_ibd_12	n_ibd_12	sum_ibd_16	n_ibd_16	sum_ibd_20	n_ibd_20	frac_gp1	frac_gp2
RKF156	RKF118	167.9938	2486.820919914898	38	2466.813622518238	36	2454.019127889332	35	2399.4390208962286	32	0.6884592586987502	0.8588652213940701
RKF141	RKF157	204.0167	2485.320201111496	31	2485.320201111496	31	2471.560001111496	30	2471.560001111496	30	0.8961572900508241	0.921228860050698
RKF053	RKF196	196.7307	2478.2513029606857	38	2478.2513029606857	38	2424.1632038292464	34	2352.0735911003644	30	0.8665203738034883	0.8742133605740734
RKF199	RKF002	268.781	2466.1240891993025	37	2446.363292771576	35	2419.0810905277717	33	2382.4696967724303	31	0.8234396478882121	0.8210308602272584
KFJ012	KFJ040	256.8179	2461.536479105484	35	2461.536479105484	35	2432.6921821732635	33	2396.6852811646577	31	0.871350560579118	0.8897002257450216
RKF109	RKF117	232.5525	2458.0575900320077	33	2446.4409904320064	32	2446.4409904320064	32	2429.192979796632	31	0.862081142093249	0.9103325640346562
KFJ030	KFJ053	186.8662	2447.7370836907653	38	2437.528387563827	37	2397.134999292496	34	2397.134999292496	34	0.821383980931482	0.8915036636273063
HNJ011	HNJ026	201.94478	2442.0317761560896	43	2415.761577334068	40	2387.876773419639	38	2336.403966489098	35	0.678660159156546	0.8908730909411928
RKF038	RKF118	157.35549926757812	2417.105634075592	40	2396.2354312958223	38	2382.84913406987	37	2345.03833406987	35	0.7456143669680804	0.8588652213940701
RKC050	RKC046	185.4946	2414.9884785241698	32	2397.855780375633	30	2383.974585784111	29	2383.974585784111	29	0.8533792390248824	0.8943034063536504
KFJ051	KFJ047	169.41310167312622	2402.042080280876	40	2381.296075699425	38	2336.7714850170364	35	2319.9562875492325	34	0.8838611226716103	0.906032058315362
KFJ048	KFJ025	190.9013	2402.0307212137373	35	2392.3390182137373	34	2349.467524341667	31	2330.130704692924	30	0.8704929817260035	0.9016054380588452
RKF029	RKF213	222.174	2395.6453406970218	28	2395.6453406970218	28	2382.4649417559817	27	2364.433934704514	26	0.88162889536276845	0.8949970363083752
RKF099	RKF191	166.63799	2381.213947983467	38	2339.936554404533	34	2310.6977480548017	32	2291.164144054802	31	0.7340622753584806	0.8717793500056752
RKC030	RKC002	170.5935	2377.174600841942	39	2345.4930006288914	36	2332.968000628891	35	2277.198605259361	32	0.7986707527776726	0.9120729446483296
RKF104	RKF192	180.8885	2372.5288999046934	39	2331.415392157044	35	2303.870390349472	33	2247.2249910225983	30	0.8757141235670236	0.8982507913687211
RKF213	RKF157	268.781	2371.9762867156987	28	2371.9762867156987	28	2371.9762867156987	28	2353.795487231446	27	0.8949970363083752	0.921228860050698
KFJ050	KFJ051	214.187	2370.032999974594	35	2341.9373105586624	32	2329.5060108722305	31	2273.813505035744	28	0.7974600532203348	0.8838611226716103
KFJ030	KFJ025	158.3121	2367.7564841406784	40	2338.29428969793	37	2310.6536893950424	35	2291.1469965086903	34	0.821383980931482	0.9016054380588452
KFJ050	KFJ047	176.7349123954773	2358.773401410501	38	2328.049198352524	35	2301.244097352524	33	2282.165497352524	32	0.7974600532203348	0.906032058315362
